公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
北京中关村集成电路设计园发展有限责任公司,储鑫,存续,2015/2/5,91110108330373248B,22000万人民币,22000万人民币,1.10E+14,91110108330373248B,33037324-8,软件和信息技术服务业,北京市海淀区丰豪东路9号院2号楼4单元608,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；非居住房地产租赁；物业管理；房地产评估；房地产经纪；房地产咨询；计算机系统服务；以自有资金从事投资活动；自有资金投资的资产管理服务；园区管理服务；租赁服务（不含许可类租赁服务）；仪器仪表修理；仪器仪表销售；会议及展览服务；组织文化艺术交流活动；专业设计服务；广告制作；广告发布；广告设计、代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：房地产开发经营；第一类增值电信业务；互联网信息服务；基础电信业务；第二类增值电信业务；检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京神州龙芯集成电路设计有限公司,邢光新,存续,2002/8/5,9.11E+17,15000万人民币,15000万人民币,1.10E+14,9.11E+17,74158959-6,科技推广和应用服务业,北京市海淀区蓝靛厂东路2号院2号楼（金源时代商务中心2号楼）5层2单元（B座）6F-1,开发、委托生产经国家密码管理机构批准的商用密码产品；销售经国家密码管理局审批并通过指定检测机构产品质量检测的商用密码产品；技术开发、技术转让、技术咨询、技术服务；计算机系统集成；销售计算机、软件及辅助设备、电子产品、通信设备、机械设备；经济信息咨询。（知识产权出资5100万元。企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
北京华弘集成电路设计有限责任公司,韩博,存续,1998/2/18,91110108633691577R,7000万人民币,7000万人民币,1.10E+14,91110108633691577R,63369157-7,计算机、通信和其他电子设备制造业,北京市海淀区中关村东路66号甲1号楼12层1506,生产集成电路卡产品及集成电路卡读写机；技术开发、技术转让、技术咨询、技术服务；产品设计；货物进出口；销售电子产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
海光集成电路设计（北京）有限公司,沙超群,存续,2016/11/11,91110108MA009FLR1T,30000万人民币,15000万人民币,1.10E+14,91110108MA009FLR1T,MA009FLR-1,软件和信息技术服务业,北京市海淀区东北旺西路8号中关村软件园一期27号楼C座5层501,一般项目：集成电路设计；集成电路销售；电子元器件批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京顿思集成电路设计有限责任公司,唐晓琦,存续,2016/8/9,91110302MA007LNQ1D,1000万人民币,1000万人民币,1.10E+14,91110302MA007LNQ1D,MA007LNQ-1,软件和信息技术服务业,北京市朝阳区东直门外西八间房万红西街2号21幢三层C1321,集成电路的设计；集成电路的技术开发、技术服务；销售电子产品；货物进出口、代理进出口、技术进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京数字光芯集成电路设计有限公司,孙雷,存续,2022/2/15,91110400MA7JAF3D81,200万人民币,200万人民币,1.10E+14,91110400MA7JAF3D81,MA7JAF3D-8,软件和信息技术服务业,北京市朝阳区万红西街2号5号楼二层2006,集成电路设计；半导体器件与集成电路、芯片设计平台及配套IP库的技术开发、技术服务、技术推广、技术咨询、技术转让；专业设计服务；软件开发；计算机系统服务；互联网数据服务（互联网数据服务中的数据中心，PUE值在1.4以上的云计算数据中心除外）；信息处理和存储支持服务（信息处理和存储支持服务中的数据中心，PUE值在1.4以上的云计算数据中心除外）；企业管理咨询；销售电子产品、仪器仪表、通讯设备、计算机软硬件及辅助设备、机械设备；货物进出口、技术进出口；互联网信息服务。（市场主体依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京海尔集成电路设计有限公司,杨彬,存续,2000/6/6,91110108723574972X,5303.92万人民币,5303.92万人民币,1.10E+14,91110108723574972X,72357497-2,软件和信息技术服务业,北京市海淀区花园东路15号4层2405,生产集成电路芯片；计算机软件、通信、家用电器的集成电路板设计、销售；自营和代理各类商品及技术的进出口业务；但国家限定公司经营或禁止进出口的商品及技术除外（不另附进出口商品目录），经营进料加工和“三来一补”业务，经营对销贸易和转口贸易；销售家用电器、通讯设备、电子产品、显示器件；信息系统集成服务；技术开发、技术服务、技术咨询、技术交流、技术转让、技术推广。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京宁海芯科集成电路设计有限公司,鲁琳,存续,2022/9/28,91110105MAC0KTMJ28,100万人民币,-,1.10E+14,91110105MAC0KTMJ28,MAC0KTMJ-2,软件和信息技术服务业,北京市北京经济技术开发区荣华南路2号院5号楼12层1203室,一般项目：集成电路设计；集成电路芯片及产品销售；集成电路芯片设计及服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电子专用材料制造；电子元器件制造；电力电子元器件制造；电子产品销售；电子专用材料销售；电子元器件批发；电子专用材料研发；电子测量仪器制造；半导体器件专用设备制造；电力电子元器件销售；半导体器件专用设备销售；电子测量仪器销售；集成电路制造；集成电路芯片及产品制造；集成电路销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京锐达芯集成电路设计有限责任公司,杨宝泉,存续,2016/8/9,91110302MA007HBT94,500万人民币,500万人民币,1.10E+14,91110302MA007HBT94,MA007HBT-9,软件和信息技术服务业,北京市北京经济技术开发区经海四路51号院1号楼2层216室,集成电路设计、研发、技术服务；销售电子元器件；技术开发，技术转让，技术服务，技术咨询；货物进出口、技术进出口、代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京诺芮集成电路设计有限公司,冯丽巍,存续,2018/11/1,91110105MA01FC8A5K,200万人民币,15.05万人民币,1.10E+14,91110105MA01FC8A5K,MA01FC8A-5,软件和信息技术服务业,北京市海淀区王庄路1号B座12(11)层1201,集成电路设计；技术开发、技术服务、技术咨询、技术转让；计算机系统服务；基础软件服务；应用软件服务（不含医用软件）；产品设计；模型设计。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
