关键词,公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
数据资产确权,,,,,12110000MB1B45614X,,,,,,,,
数据资产确权,,,,,12100000MB18985374,,,,,,,,
数据资产确权,中国工商银行股份有限公司,廖林,存续,1985-11-22,91100000100003962T,35640625.7089万人民币,24800000万人民币,100000000003965,91100000100003962T,10000396-2,货币金融服务,北京市西城区复兴门内大街55号,办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券；代收代付业务；代理证券资金清算业务（银证转账）；保险兼业代理业务；代理政策性银行、外国政府和国际金融机构贷款业务；保管箱服务；发行金融债券；买卖政府债券、金融债券；证券投资基金、企业年金托管业务；企业年金受托管理服务、年金账户管理服务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；企业、个人财务顾问服务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；出口托收及进口代收；外汇票据承兑和贴现；外汇借款；外汇担保；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；外汇金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经国务院银行业监督管理机构批准的其他业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,北京百度网讯科技有限公司,梁志祥,存续,2001-06-05,91110000802100433B,1342128万人民币,1342128万人民币,110108002734659,91110000802100433B,80210043-3,互联网和相关服务,北京市海淀区上地十街10号百度大厦2层,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；软件开发；计算机系统服务；信息系统集成服务；数据处理服务；数字内容制作服务（不含出版发行）；软件销售；计算机软硬件及辅助设备批发；电子产品销售；电子元器件批发；电子元器件零售；机械设备租赁；广告制作；广告发布；广告设计、代理；专业设计服务；市场营销策划；会议及展览服务；信息技术咨询服务；企业管理咨询；社会经济咨询服务；家用电器销售；机械设备销售；五金产品零售；五金产品批发；玩具、动漫及游艺用品销售；游艺用品及室内游艺器材销售；针纺织品销售；照相机及器材销售；化妆品批发；化妆品零售；个人卫生用品销售；体育用品及器材批发；体育用品及器材零售；服装服饰零售；服装服饰批发；鞋帽零售；鞋帽批发；日用品销售；日用品批发；珠宝首饰批发；珠宝首饰零售；工艺美术品及礼仪用品销售（象牙及其制品除外）；工艺美术品及收藏品批发（象牙及其制品除外）；钟表销售；眼镜销售（不含隐形眼镜）；玩具销售；办公用品销售；摩托车及零配件零售；摩托车及零配件批发；仪器仪表销售；家具销售；塑料制品销售；建筑材料销售；通讯设备销售；食品销售（仅销售预包装食品）；保健食品（预包装）销售；货物进出口；技术进出口；进出口代理；汽车零配件批发；汽车零配件零售；汽车零部件及配件制造；汽车销售；健康咨询服务（不含诊疗服务）；票务代理服务；翻译服务；第一类医疗器械销售；第二类医疗器械销售；教育咨询服务（不含涉许可审批的教育培训活动）；人力资源服务（不含职业中介活动、劳务派遣服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务；第二类增值电信业务；网络文化经营；出版物零售；出版物批发；演出经纪；职业中介活动；广播电视节目制作经营；信息网络传播视听节目；互联网新闻信息服务；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,中国建设银行股份有限公司,张金良,存续,2004-09-17,911100001000044477,25001097.7486万人民币,19423025万人民币,100000000039122,911100001000044477,10000444-7,货币金融服务,北京市西城区金融大街25号,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经中国银行业监督管理机构等监管部门批准的其他业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,百度在线网络技术（北京）有限公司,崔珊珊,存续,2000-01-18,91110108717743469K,4520万美元,4520万美元,110000410144104,91110108717743469K,71774346-9,-,北京市海淀区上地十街10号百度大厦三层,开发、生产计算机软件；提供相关技术咨询、技术服务、技术培训；承接计算机网络系统工程；货物进出口、技术进出口、代理进出口；设计、制作、代理、发布广告；软件开发；技术开发、技术推广、技术转让；销售自产产品、医疗器械II类、电子产品、器件和元件、计算机、软件及辅助设备、灯具、五金交电、自行开发后的产品；计算机系统集成；委托加工生产通讯设备；销售第三类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；销售第三类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,中国银行股份有限公司,葛海蛟,存续,1983-10-31,911000001000013428,29438779.1241万人民币,17132540.47万人民币,100000000001349,911000001000013428,10000134-2,货币金融服务,北京市西城区复兴门内大街1号,吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；结汇、售汇；发行和代理发行股票以外的外币有价证券；买卖和代理买卖股票以外的外币有价证券；自营外汇买卖；代客外汇买卖；外汇信用卡的发行和代理国外信用卡的发行及付款；资信调查、咨询、见证业务；组织或参加银团贷款；国际贵金属买卖；海外分支机构经营当地法律许可的一切银行业务；在港澳地区的分行依据当地法令可发行或参与代理发行当地货币；经中国银行业监督管理委员会等监管部门批准的其他业务；保险兼业代理（有效期至2021年8月21日）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,百度（中国）有限公司,沈抖,存续,2005-06-06,91310000775785552L,1250万美元,1250万美元,310115400176517,91310000775785552L,77578555-2,商务服务业,中国（上海）自由贸易试验区纳贤路701号1#楼3层,投资经营决策服务，市场营销服务，管理服务，员工管理服务，研究开发技术服务，信息技术服务。设计、制作、发布、代理国内外各类广告业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
数据资产确权,中国农业银行股份有限公司,谷澍,存续,1986-12-18,911100001000054748,34998303.3873万人民币,33923990万人民币,100000000005472,911100001000054748,10000547-4,货币金融服务,北京市东城区建国门内大街69号,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；合格境外机构投资者境内证券投资托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；经国务院银行业监督管理机构等监管部门批准的其他业务；保险兼业代理业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,,,,,,,,,,,-,,
